timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-09-17,122.62,125.55,121.97,124.92,123.182038238,3171262,0.0000,1.0
2020-09-16,122.71,125.82,122.71,124.22,122.491777057,3789458,0.0000,1.0
2020-09-15,122.82,123.4,122.24,122.44,120.736541482,2915221,0.0000,1.0
2020-09-14,122.36,123.38,121.76,122.09,120.391410891,3641887,0.0000,1.0
2020-09-11,121.39,122.7,120.73,121.46,119.770175828,3548091,0.0000,1.0
2020-09-10,122.53,123.5764,120.24,120.56,118.882697166,3978805,0.0000,1.0
2020-09-09,122.13,123.7,121.29,122.26,120.559045749,3770678,0.0000,1.0
2020-09-08,122.16,122.87,120.71,121.21,119.523653977,5210292,0.0000,1.0
2020-09-04,124.35,125.35,121.24,122.3,120.598489245,6018238,0.0000,1.0
2020-09-03,128.19,129.95,123.65,124.45,122.718577159,5716750,0.0000,1.0
2020-09-02,123.72,128.7,123.575,128.18,126.396683168,6592430,0.0000,1.0
2020-09-01,122.85,123.95,122.15,123.4,121.683185388,3155623,0.0000,1.0
2020-08-31,125.25,125.25,123.03,123.31,121.594437521,4827879,0.0000,1.0
2020-08-28,124.96,125.3,124.2187,125.07,123.329951349,3099940,0.0000,1.0
2020-08-27,124.6,125.1,123.98,124.65,122.91579464,3422654,0.0000,1.0
2020-08-26,124.95,125.12,123.95,124.17,122.442472687,3388687,0.0000,1.0
2020-08-25,126.0,126.82,124.49,124.64,122.905933766,2977697,0.0000,1.0
2020-08-24,123.79,126.06,123.36,125.68,123.931464664,4070816,0.0000,1.0
2020-08-21,123.01,123.4842,122.31,123.16,121.446524411,3385051,0.0000,1.0
2020-08-20,123.2,124.04,122.81,123.15,121.436663537,2561164,0.0000,1.0
2020-08-19,124.83,125.5,123.5,123.84,122.117063844,3743949,0.0000,1.0
2020-08-18,125.0,125.5,124.24,124.92,123.182038238,2882355,0.0000,1.0
2020-08-17,125.25,125.59,124.41,124.44,122.708716285,3336459,0.0000,1.0
2020-08-14,124.2,125.56,123.91,125.27,123.527168829,2963753,0.0000,1.0
2020-08-13,125.96,126.39,124.77,125.03,123.290507853,3171258,0.0000,1.0
2020-08-12,127.61,127.79,125.876,126.7,124.937273814,3530177,0.0000,1.0
2020-08-11,128.76,130.47,126.61,126.75,124.986578184,5001176,0.0000,1.0
2020-08-10,125.42,127.24,125.1849,127.11,125.341569648,3968295,0.0000,1.0
2020-08-07,123.5,125.07,123.21,124.96,123.221481734,3651226,1.6300,1.0
2020-08-06,125.0,126.26,125.0,126.12,122.76398828,3417131,0.0000,1.0
2020-08-05,126.73,126.75,124.61,125.45,122.111816759,3675400,0.0000,1.0
2020-08-04,123.82,125.86,123.82,125.84,122.491438988,3431366,0.0000,1.0
2020-08-03,123.5,124.41,122.15,124.31,121.002151785,3526574,0.0000,1.0
2020-07-31,122.71,122.99,121.09,122.94,119.668607034,5277652,0.0000,1.0
